,Unnamed: 0,precision_wn,recall_wn,precision_cn,recall_cn
768,768,1.0,0.07692307692307693,1.0,1.0
769,769,1.0,1.0,1.0,1.0
770,770,1.0,1.0,1.0,1.0
771,771,1.0,1.0,1.0,1.0
772,772,1.0,0.3333333333333333,1.0,1.0
773,773,1.0,1.0,1.0,1.0
774,774,1.0,0.5,1.0,1.0
775,775,1.0,1.0,1.0,1.0
776,776,1.0,1.0,1.0,1.0
777,777,1.0,1.0,1.0,1.0
778,778,0.5,0.375,0.5,1.0
779,779,1.0,1.0,1.0,1.0
780,780,1.0,1.0,1.0,1.0
781,781,1.0,1.0,1.0,1.0
782,782,1.0,0.03333333333333333,1.0,1.0
783,783,1.0,1.0,1.0,1.0
784,784,1.0,1.0,1.0,1.0
785,785,1.0,1.0,1.0,1.0
786,786,1.0,1.0,1.0,1.0
787,787,1.0,0.25,1.0,1.0
788,788,1.0,1.0,1.0,1.0
789,789,1.0,1.0,1.0,1.0
790,790,1.0,1.0,1.0,1.0
791,791,1.0,0.5,1.0,1.0
792,792,0.5,1.0,0.5,1.0
793,793,1.0,1.0,1.0,1.0
794,794,0.5,1.0,0.5,1.0
795,795,1.0,0.5,1.0,1.0
796,796,1.0,1.0,1.0,1.0
797,797,1.0,1.0,1.0,1.0
798,798,1.0,1.0,1.0,1.0
799,799,0.5,0.55,0.5,1.0
800,800,1.0,1.0,1.0,1.0
801,801,1.0,0.25,1.0,1.0
802,802,1.0,0.3333333333333333,1.0,1.0
803,803,1.0,1.0,1.0,1.0
804,804,0.5,0.29166666666666663,0.5,1.0
805,805,1.0,1.0,1.0,1.0
806,806,1.0,1.0,1.0,1.0
807,807,1.0,1.0,1.0,1.0
808,808,1.0,1.0,1.0,1.0
809,809,1.0,1.0,1.0,1.0
810,810,1.0,1.0,1.0,1.0
811,811,1.0,1.0,1.0,1.0
812,812,1.0,1.0,1.0,1.0
813,813,1.0,1.0,1.0,1.0
814,814,0.5,0.35,0.5,1.0
815,815,1.0,1.0,1.0,1.0
816,816,1.0,1.0,1.0,1.0
817,817,1.0,0.045454545454545456,1.0,1.0
818,818,0.5,1.0,0.5,1.0
819,819,1.0,1.0,1.0,1.0
820,820,1.0,0.25,1.0,1.0
821,821,0.5,1.0,0.5,1.0
822,822,1.0,1.0,1.0,1.0
823,823,1.0,1.0,1.0,1.0
824,824,1.0,1.0,1.0,1.0
825,825,1.0,1.0,1.0,1.0
826,826,1.0,1.0,1.0,1.0
827,827,1.0,0.125,1.0,1.0
828,828,1.0,0.5,1.0,1.0
829,829,1.0,0.16666666666666666,1.0,1.0
