,precision_wn,recall_wn,precision_cn,recall_cn
block,0.09090909090909091,0.022727272727272728,0.09090909090909091,0.0036496350364963502
serve,0.09090909090909091,0.05555555555555555,0.2727272727272727,0.022556390977443608
show,0.09090909090909091,0.038461538461538464,0.09090909090909091,0.005405405405405406
as,0.18181818181818182,0.09090909090909091,0.45454545454545453,0.07246376811594203
to,0.09090909090909091,1.0,0.36363636363636365,0.04081632653061224
prepare,0.09090909090909091,0.058823529411764705,0.09090909090909091,0.008
role,0.09090909090909091,0.1111111111111111,0.18181818181818182,0.015037593984962405
a,0.09090909090909091,0.07692307692307693,0.18181818181818182,0.009852216748768473
pour,0.058823529411764705,0.1,0.058823529411764705,0.011904761904761904
genre,0.058823529411764705,0.16666666666666666,0.058823529411764705,0.0045871559633027525
oui,0.058823529411764705,1.0,0.058823529411764705,1.0
merveilleux,0.058823529411764705,1.0,0.058823529411764705,0.3333333333333333
fond,0.058823529411764705,0.125,0.058823529411764705,0.02564102564102564
repose,0.058823529411764705,0.05263157894736842,0.058823529411764705,0.038461538461538464
alors,0.058823529411764705,1.0,0.058823529411764705,1.0
chambre,0.058823529411764705,1.0,0.058823529411764705,1.0
plus,0.058823529411764705,0.2,0.058823529411764705,0.023255813953488372
fille,0.058823529411764705,0.16666666666666666,0.058823529411764705,0.5
petits,0.058823529411764705,1.0,0.058823529411764705,1.0
week-end,0.058823529411764705,1.0,0.058823529411764705,1.0
corps,0.058823529411764705,0.25,0.058823529411764705,0.05263157894736842
petit,0.058823529411764705,1.0,0.058823529411764705,0.047619047619047616
et,0.058823529411764705,1.0,0.058823529411764705,0.125
lit,0.058823529411764705,0.05263157894736842,0.058823529411764705,0.022222222222222223
tout,0.058823529411764705,0.07692307692307693,0.058823529411764705,0.030303030303030304
features,0.16666666666666666,0.1,0.16666666666666666,0.045454545454545456
released,0.16666666666666666,0.041666666666666664,0.16666666666666666,0.1
added,0.16666666666666666,0.05263157894736842,0.16666666666666666,0.05555555555555555
newest,0.16666666666666666,0.1,0.16666666666666666,0.5
listed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1111111111111111
available,0.16666666666666666,0.25,0.16666666666666666,0.013513513513513514
car,0.2,0.09090909090909091,0.6,0.01020408163265306
train,0.2,0.037037037037037035,0.6,0.01276595744680851
station,0.2,0.25,0.4,0.015873015873015872
bus,0.2,0.07142857142857142,0.4,0.024390243902439025
taxi,0.2,0.25,0.2,0.02702702702702703
banner,0.2,0.3333333333333333,0.2,0.014492753623188406
item,0.2,0.2,0.2,0.004672897196261682
cap,0.2,0.07142857142857142,0.2,0.0064516129032258064
print,0.2,0.2,0.2,0.003289473684210526
log,0.2,0.3333333333333333,0.2,0.008771929824561403
amateur,0.25,0.16666666666666666,0.25,0.0196078431372549
teens,0.25,0.2,0.25,0.08333333333333333
sexual,0.25,0.5,0.5,0.00411522633744856
sex,0.25,0.09090909090909091,0.5,0.007905138339920948
replying,0.26666666666666666,1.0,0.13333333333333333,0.6666666666666666
instantly,0.2,0.23076923076923078,0.13333333333333333,0.16666666666666666
immediately,0.2,0.3,0.2,0.08333333333333333
send,0.06666666666666667,0.05263157894736842,0.2,0.03529411764705882
answers,0.26666666666666666,0.3076923076923077,0.13333333333333333,0.16666666666666666
